name,description,price,category,tags,semantic_description
Kiwi,Fresh Kiwi - pack of 6,180,Fruits,"fresh,fruit,exotic,vitamin-c,tangy","Nutrient-dense fruit with more vitamin C than an orange. High in fiber and folate. Supports digestion and immunity. Great as a breakfast fruit or snack."
Guava,Fresh Guava - 500g,50,Fruits,"fresh,fruit,tropical,vitamin-c,fiber","High fiber tropical fruit with four times more vitamin C than oranges. Excellent for digestion, immunity, and weight management. Best eaten fresh."
Pear,Fresh Pears - pack of 4,100,Fruits,"fresh,fruit,mild,sweet,fiber","Mild sweet fruit high in dietary fiber. Gentle on the stomach. Good for digestive health. Best eaten fresh as a snack or added to fruit bowls."
Litchi,Fresh Litchi - 500g,130,Fruits,"fresh,fruit,exotic,summer,sweet","Juicy summer fruit with sweet floral flavor. Good source of vitamin C and B vitamins. Best enjoyed fresh. Popular in desserts and juices."
Coconut,Fresh Coconut - 1 piece,45,Fruits,"fresh,fruit,tropical,hydrating,cooking","Versatile tropical fruit. Coconut water is excellent for hydration and electrolytes. Coconut flesh is used in cooking curries and desserts. High in healthy fats."
Tomato,Fresh Tomatoes - 1 kg,40,Vegetables,"fresh,vegetable,cooking,salad,vitamin-c","Kitchen staple rich in lycopene and vitamin C. Used in curries, dals, soups, salads, and chutneys. Essential ingredient in Indian cooking. Also good raw in salads."
Potato,Fresh Potatoes - 1 kg,30,Vegetables,"fresh,vegetable,staple,cooking,curry","Most versatile vegetable. Used in curries, snacks, soups, and as a side dish. Good source of complex carbohydrates and potassium. Fills well and affordable."
Onion,Fresh Onions - 1 kg,35,Vegetables,"fresh,vegetable,cooking,essential,flavor","Base ingredient of almost all Indian cooking. Adds sweetness and depth to curries, dals, and stir-fries. Rich in quercetin and antioxidants. Can be eaten raw in salads."
Garlic,Fresh Garlic - 250g,60,Vegetables,"fresh,vegetable,cooking,flavor,antibiotic","Potent flavor enhancer and natural antibiotic. Used in tempering, marinades, and sauces. Boosts immunity and supports heart health. Essential in Indian and global cuisines."
Ginger,Fresh Ginger - 250g,50,Vegetables,"fresh,root,cooking,tea,digestive","Anti-inflammatory root used in cooking and herbal teas. Aids digestion and relieves nausea. Used in chai, curries, soups, and marinades. Good for cold and flu relief."
Carrot,Fresh Carrots - 500g,40,Vegetables,"fresh,vegetable,vitamin-a,crunchy,salad","Crunchy orange vegetable rich in beta-carotene and vitamin A. Good for eye health. Can be eaten raw as a snack, used in salads, juiced, or cooked in curries."
Cauliflower,Fresh Cauliflower - 1 piece,55,Vegetables,"fresh,vegetable,low-carb,cooking,healthy","Versatile low-carb vegetable. Used in aloo gobi, stir-fries, soups, and rice substitutes. High in fiber and vitamin C. Good for low-carb and keto diets."
Broccoli,Fresh Broccoli - 1 piece,80,Vegetables,"fresh,vegetable,superfood,healthy,fiber","Nutrient-dense superfood packed with vitamin C, K, and folate. High in protein relative to other vegetables. Great stir-fried, steamed, or in soups and salads."
Spinach,Fresh Spinach - 250g,30,Vegetables,"fresh,vegetable,iron,healthy,leafy-green","Iron-rich leafy green vegetable. High in folate, vitamin K, and magnesium. Excellent for palak paneer, smoothies, soups, and salads. Ideal for anaemia and bone health."
Capsicum,Fresh Capsicum - 3 pieces,50,Vegetables,"fresh,vegetable,colorful,vitamin-c,salad","Colorful bell peppers rich in vitamin C. Adds crunch and flavor to stir-fries, salads, and sandwiches. Low calorie and high in antioxidants."
Cucumber,Fresh Cucumbers - 3 pieces,35,Vegetables,"fresh,vegetable,hydrating,salad,cooling","Cooling and hydrating vegetable. Great for summer salads, raita, sandwiches, and as a snack with hummus. Low calorie and high water content."
Bitter Gourd,Fresh Bitter Gourd - 500g,45,Vegetables,"fresh,vegetable,diabetes,bitter,ayurvedic","Known for its blood sugar regulating properties. Excellent for diabetics. Used in sabzi and stir-fries. Rich in vitamin C and folate. Bitter taste is an acquired preference."
Bottle Gourd,Fresh Bottle Gourd - 1 piece,30,Vegetables,"fresh,vegetable,light,curry,low-calorie","Light and digestive vegetable used in lauki sabzi, dal, and raita. Very low calorie and easy on the stomach. Good for weight loss and cooling the body."
Peas,Fresh Green Peas - 500g,60,Vegetables,"fresh,vegetable,protein,cooking,sweet","One of the best plant-based protein sources among vegetables. Sweet and versatile. Used in matar paneer, pulao, soups, and side dishes. Good for protein-rich vegetarian meals."
Cabbage,Fresh Cabbage - 1 piece,35,Vegetables,"fresh,vegetable,fiber,cooking,salad","High in fiber and vitamin C. Low calorie and filling. Used in stir-fries, soups, coleslaw, and stir-fried rice. Good for gut health and weight management."
Beans,Fresh French Beans - 250g,40,Vegetables,"fresh,vegetable,fiber,cooking,healthy","Tender green beans high in fiber and folate. Used in stir-fries, curries, and salads. Low calorie and nutritious. Good source of plant-based iron."
Lady Finger,Fresh Lady Finger (Okra) - 250g,35,Vegetables,"fresh,vegetable,okra,fiber,curry","Popular Indian vegetable with high fiber and vitamin C content. Used in bhindi masala and stir-fries. Has mucilage that supports gut health."
Mushroom,Button Mushrooms - 200g,70,Vegetables,"fresh,vegetable,umami,protein,cooking","Meaty umami flavor. Decent plant-based protein source. Used in pasta, curries, stir-fries, and soups. Low calorie and rich in B vitamins and selenium."
Sweet Corn,Fresh Sweet Corn - 2 pieces,40,Vegetables,"fresh,vegetable,sweet,fiber,snack","Naturally sweet vegetable high in fiber and antioxidants. Great as a boiled snack, in salads, soups, or grilled. Popular street food ingredient."
Beetroot,Fresh Beetroot - 500g,50,Vegetables,"fresh,vegetable,antioxidant,iron,salad","Deep red root vegetable rich in iron and folate. Known for boosting stamina and blood health. Great in salads, juices, and soups. Vibrant color enhances dishes."
Basmati Rice,Premium Basmati Rice - 1 kg,120,Grocery,"rice,grain,staple,aromatic,biryani","Long-grain aromatic rice ideal for biryani, pulao, and everyday meals. Low glycemic index compared to regular rice. Light and fluffy when cooked. Premium quality grain."
Whole Wheat Atta,Chakki Fresh Atta - 5 kg,260,Grocery,"flour,grain,staple,roti,whole-wheat","Stone-ground whole wheat flour for making soft rotis and chapatis. High in fiber and essential nutrients. Retains wheat bran and germ. Healthier than refined flour."
Toor Dal,Split Pigeon Peas - 500g,90,Grocery,"dal,lentil,protein,staple,cooking","Most commonly used dal in Indian cooking. Excellent source of plant-based protein and complex carbohydrates. Base for sambar and everyday dal. High in fiber."
Chana Dal,Split Bengal Gram - 500g,80,Grocery,"dal,lentil,protein,staple,cooking","High protein split chickpea lentil. Used in dal tadka, chana masala, and desserts like halwa. Slower digesting with lower glycemic index. Good for diabetics."
Moong Dal,Split Green Gram - 500g,85,Grocery,"dal,lentil,protein,light,cooking","Lightest and most easily digestible dal. High in protein and folate. Excellent for weight loss diets, post-illness recovery, and babies. Used in khichdi and dal."
Masoor Dal,Red Lentils - 500g,75,Grocery,"dal,lentil,protein,quick-cook,cooking","Quick-cooking red lentil with earthy flavor. Rich in protein and iron. One of the best plant-based protein sources for vegetarians. Ready in 20 minutes."
Poha,Flattened Rice (Medium) - 500g,55,Grocery,"rice,breakfast,quick-cook,snack,light","Quick and light breakfast staple. Low calorie and easy to prepare. Rich in iron when fortified. Excellent protein-rich breakfast option when made with peanuts. Very popular across Maharashtra."
Sooji,Fine Semolina - 500g,45,Grocery,"flour,breakfast,halwa,upma,baking","Coarse wheat flour used in upma, halwa, idli, and semolina-based desserts. Good source of protein and carbohydrates. Versatile ingredient for both sweet and savory dishes."
Maida,Refined Flour - 1 kg,60,Grocery,"flour,baking,cooking,pastry,bread","Refined all-purpose flour used for making bread, naan, pastries, and fried snacks. Fine texture ideal for baking. Use in moderation due to low fiber content."
Besan,Chickpea Flour - 500g,70,Grocery,"flour,chickpea,baking,fritters,protein","Nutrient-rich chickpea flour high in protein and fiber. Used for pakoras, kadhi, besan chilla, and sweets. Excellent gluten-free flour alternative rich in plant-based protein."
Cornflour,Fine Cornstarch - 200g,40,Grocery,"flour,thickener,baking,cooking,soups","Fine white starch used as a thickening agent in soups, gravies, and sauces. Also used in crispy fried coatings. Gluten-free and neutral in taste."
Sugar,White Refined Sugar - 1 kg,55,Grocery,"sweetener,baking,cooking,beverage,staple","Standard sweetener for tea, coffee, baking, and desserts. Common household staple. Use in moderation. Can be substituted with jaggery for healthier alternatives."
Salt,Iodized Rock Salt - 1 kg,25,Grocery,"seasoning,cooking,staple,iodized,essential","Essential seasoning for all cooking. Iodized for thyroid health. Basic household staple used in every cuisine. Rock salt variety preferred for mineral content."
Mustard Oil,Pure Mustard Oil - 1 litre,180,Grocery,"oil,cooking,mustard,pungent,frying","Traditional Indian cooking oil with pungent aroma and strong flavor. High in omega-3 fatty acids and monounsaturated fats. Popular in North and East Indian cooking."
Sunflower Oil,Refined Sunflower Oil - 1 litre,140,Grocery,"oil,cooking,light,frying,neutral","Light neutral-flavored cooking oil suitable for everyday frying, sauteing, and baking. Rich in vitamin E. Good for high-temperature cooking."
Coconut Oil,Cold Pressed Coconut Oil - 500ml,220,Grocery,"oil,cooking,coconut,healthy,ayurvedic","Cold-pressed virgin coconut oil with mild coconut flavor. Used in South Indian cooking, baking, and as a skin moisturizer. Medium chain fatty acids support metabolism."
Turmeric Powder,Pure Turmeric Powder - 100g,45,Grocery,"spice,powder,anti-inflammatory,cooking,ayurvedic","Golden spice with powerful anti-inflammatory compound curcumin. Essential in Indian cooking for color and health benefits. Used in curries, dal, and golden milk."
Red Chilli Powder,Kashmiri Red Chilli Powder - 100g,55,Grocery,"spice,powder,hot,cooking,color","Bright red chilli powder for heat and color in curries, marinades, and spice blends. Kashmiri variety gives vibrant color with moderate heat. Essential Indian spice."
Coriander Powder,Ground Coriander Seeds - 100g,40,Grocery,"spice,powder,mild,cooking,aromatic","Mild aromatic spice used extensively in Indian cooking. Adds earthy warm flavor to curries, marinades, and spice blends. One of the most used Indian spices."
Cumin Seeds,Whole Cumin Seeds - 100g,60,Grocery,"spice,seeds,tempering,cooking,aromatic","Earthy aromatic seeds used for tempering dals, curries, and rice. Rich in iron and aids digestion. Used in cumin water (jeera water) for digestive health."
Mustard Seeds,Black Mustard Seeds - 100g,35,Grocery,"spice,seeds,tempering,cooking,pungent","Pungent seeds used for tempering in South Indian and Bengali cooking. Popped in hot oil to release flavor. Used in pickles, curries, and chutneys."
Garam Masala,Blend of Whole Spices - 50g,70,Grocery,"spice,blend,aromatic,cooking,warm","Warming spice blend of cardamom, cinnamon, cloves, and other whole spices. Added at end of cooking for aroma. Essential finishing spice in Indian cooking."
Chai Masala,Spiced Tea Masala - 50g,65,Grocery,"spice,blend,tea,ginger,cardamom","Aromatic spice blend of ginger, cardamom, cinnamon, and pepper for making masala chai. Also used in desserts and baked goods. Warming and digestive."
Milk,Full Cream Milk - 500ml,30,Dairy & Eggs,"dairy,milk,calcium,protein,breakfast","Complete food rich in calcium, protein, and vitamins D and B12. Essential for bone health and muscle building. Used in tea, coffee, cereal, smoothies, and cooking. Good for all ages."
Paneer,Fresh Cottage Cheese - 200g,90,Dairy & Eggs,"dairy,cheese,protein,vegetarian,cooking","High protein dairy product and the most popular vegetarian protein source in India. Used in palak paneer, butter paneer, tikka, and salads. Excellent for muscle building."
Butter,Salted Butter - 100g,55,Dairy & Eggs,"dairy,fat,cooking,toast,baking","Rich creamy butter for spreading on toast, cooking, and baking. Good source of fat-soluble vitamins A, D, E and K. Enhances flavor of bread, parathas, and baked goods."
Curd,Fresh Dahi - 400g,40,Dairy & Eggs,"dairy,probiotic,protein,cooling,everyday","Probiotic-rich fermented milk product that supports gut health and digestion. Excellent high-protein food. Used in raita, lassi, smoothies, and as a cooling side dish."
Ghee,Pure Cow Ghee - 500ml,320,Dairy & Eggs,"dairy,fat,cooking,ayurvedic,aromatic","Clarified butter with rich nutty aroma. Used extensively in Indian cooking and Ayurveda. Good source of fat-soluble vitamins. Enhances flavor of dal, khichdi, and roti."
Eggs,Farm Fresh Eggs - pack of 12,90,Dairy & Eggs,"protein,breakfast,high-protein,versatile,everyday","Complete protein source containing all essential amino acids. One of the best foods for muscle building and weight management. Versatile for breakfast omelette, boiled, scrambled or used in baking."
Bread,Whole Wheat Bread - 400g,45,Bakery,"bread,wheat,breakfast,sandwich,quick","Soft whole wheat bread for quick breakfast sandwiches and toast. Higher fiber than white bread. Quick and convenient meal option. Good source of carbohydrates for energy."
Biscuits,Digestive Biscuits - 200g,55,Snacks,"snack,baked,sweet,tea-time,fiber","Lightly sweet wholemeal biscuits traditionally paired with tea or coffee. Contains fiber from whole wheat. Good as a light snack or base for cheesecakes."
Namkeen,Mixed Salty Snack - 200g,60,Snacks,"snack,salty,crunchy,party,savory","Crunchy mixed savory snack mix of sev, nuts, and puffed rice. Popular tea-time snack and party nibble. High energy snack. Best enjoyed in moderation."
Chips,Salted Potato Chips - 75g,20,Snacks,"snack,potato,crunchy,salty,fried","Classic crispy fried potato chips with sea salt. Popular snack for movie nights and casual munching. Light and crunchy. Best consumed as an occasional treat."
Popcorn,Butter Popcorn - 125g,80,Snacks,"snack,corn,light,movie,butter","Light and airy buttered popcorn. Low calorie snack when air-popped. Great movie companion. Whole grain snack with dietary fiber. Good for satisfying hunger between meals."
Instant Noodles,Masala Flavour Noodles - 70g,15,Snacks,"noodles,quick,spicy,instant,meal","Quick 2-minute spicy masala noodles. Convenient meal for students and busy individuals. Popular midnight snack. Not recommended for everyday consumption due to sodium content."
Ketchup,Tomato Ketchup - 500g,100,Condiments,"sauce,tomato,condiment,sweet,dip","Sweet tangy tomato sauce used as a dip for snacks, spread on sandwiches, or as a cooking base. Pairs well with fries, burgers, and fried snacks."
Soy Sauce,Dark Soy Sauce - 200ml,70,Condiments,"sauce,asian,umami,condiment,cooking","Rich umami condiment used in Chinese, Japanese, and fusion cooking. Essential for noodles, fried rice, stir-fries, and marinades. Adds deep savory flavor."
Vinegar,White Vinegar - 500ml,45,Condiments,"acidic,condiment,cooking,preservation,tangy","Mild acidic condiment used in pickling, salad dressings, and marinades. Used for preserving vegetables and balancing flavors in sweet and sour dishes."
Honey,Pure Wildflower Honey - 250g,180,Condiments,"sweetener,natural,healthy,antioxidant,spread","Natural sweetener rich in antioxidants and antimicrobial compounds. Great spread for toast, drizzled on yogurt, or mixed in warm water. Healthier alternative to sugar."
Jam,Mixed Fruit Jam - 200g,95,Condiments,"spread,sweet,breakfast,fruit,toast","Sweet fruit preserve for spreading on bread, toast, and biscuits. Popular breakfast condiment. Mixed fruit variety offers multiple flavors. Quick breakfast accompaniment."
Peanut Butter,Creamy Peanut Butter - 340g,210,Condiments,"spread,protein,nuts,breakfast,high-protein","High protein nut butter excellent for muscle building and satiety. Great on toast for a protein-rich breakfast. Rich in healthy fats and magnesium. Popular among fitness enthusiasts."
Chocolate,Dark Chocolate Bar 70% - 100g,130,Snacks,"chocolate,dark,antioxidant,sweet,indulgent","Rich dark chocolate with 70% cocoa. High in antioxidants flavanols that support heart health. Better for you than milk chocolate. Great as a mood lifter and occasional treat."
Coffee,Instant Coffee Powder - 100g,220,Beverages,"beverage,coffee,instant,morning,caffeine","Quick dissolving instant coffee for a fast morning energy boost. Provides caffeine for alertness and focus. Can be made hot or cold. Good base for dalgona and iced coffee drinks."
Tea,Assam CTC Tea - 250g,120,Beverages,"beverage,tea,black,everyday,caffeine","Strong Assam CTC black tea for making everyday Indian chai. Pairs well with milk and sugar. Moderate caffeine for a gentle morning energy boost. Antioxidant-rich."
Green Tea,Tulsi Green Tea - 25 bags,150,Beverages,"beverage,tea,green,antioxidant,healthy","Antioxidant-rich green tea with holy basil (tulsi) for immunity. Contains lower caffeine than black tea. Supports metabolism and weight management. Best without milk."
Mineral Water,Still Water - 1 litre,20,Beverages,"beverage,water,hydration,pure,still","Pure still drinking water. Essential for daily hydration. Good choice when tap water quality is uncertain. Calorie-free. Aim for 8 glasses of water daily for good health."
Cola Drink,Carbonated Cola - 600ml,40,Beverages,"beverage,carbonated,cold-drink,sweet,refreshing","Classic carbonated cola drink. Cold and refreshing. High in sugar so best consumed occasionally. Popular party beverage and mixer. Good for occasional indulgence."
Orange Juice,100% Pure Orange Juice - 1 litre,120,Beverages,"beverage,juice,vitamin-c,fruit,fresh","Pure orange juice without added sugar. Rich in vitamin C for immunity. Good morning drink for a fresh start. Natural sugars and no preservatives in 100% variety."
Coconut Water,Natural Tender Coconut Water - 200ml,35,Beverages,"beverage,coconut,hydrating,natural,electrolytes","Nature's best hydration drink. Rich in electrolytes potassium, sodium, and magnesium. Excellent post-workout drink and natural alternative to sports drinks. Zero added sugar."
Detergent Powder,Front Load Detergent - 1 kg,220,Home Care,"cleaning,laundry,detergent,washing,home","High-efficiency laundry detergent for front-load washing machines. Removes tough stains and odors. Concentrated formula requires less product per wash. Fabric care formula."
Dish Soap,Lemon Dish Wash Liquid - 500ml,90,Home Care,"cleaning,kitchen,dishwash,lemon,home","Lemon-scented dish washing liquid that cuts through grease effectively. Gentle on hands. Used for washing utensils, vessels, and cookware. Removes food stains and odors."
Floor Cleaner,Disinfectant Floor Cleaner - 1 litre,130,Home Care,"cleaning,disinfectant,floor,home,hygiene","Disinfectant floor cleaner that kills 99.9% of germs. Leaves floors clean and fragrant. Safe for all floor types including tiles and marble. Dilute with water before use."
Toilet Cleaner,Thick Bleach Toilet Cleaner - 500ml,80,Home Care,"cleaning,bleach,toilet,disinfectant,home","Thick bleach formula for deep cleaning and disinfecting toilets. Removes stains, limescale, and kills bacteria. Thick consistency clings to bowl surface for better cleaning."
Glass Cleaner,Streak Free Glass Cleaner - 500ml,75,Home Care,"cleaning,glass,streak-free,home,spray","Streak-free formula for cleaning glass surfaces, mirrors, and windows. Leaves surfaces sparkling clear without residue. Easy spray and wipe application."
Hand Wash,Moisturising Liquid Hand Wash - 250ml,85,Personal Care,"hygiene,handwash,moisturising,fragrance,everyday","Gentle liquid hand wash that cleans without drying skin. Contains moisturizers to keep hands soft. Kills germs and leaves hands smelling fresh. Use multiple times daily."
Shampoo,Damage Repair Shampoo - 200ml,180,Personal Care,"haircare,shampoo,repair,fragrance,everyday","Damage repair shampoo with protein complex for strengthening weak and brittle hair. Lathers well and rinses clean. Suitable for daily use on chemically treated hair."
Conditioner,Smoothing Hair Conditioner - 180ml,160,Personal Care,"haircare,conditioner,smooth,fragrance,everyday","Smoothing conditioner that reduces frizz and adds shine to dull hair. Apply after shampoo for detangling and moisturizing. Leaves hair silky and manageable."
Body Wash,Refreshing Shower Gel - 250ml,150,Personal Care,"skincare,shower,gel,fragrance,refreshing","Refreshing shower gel with light fragrance. Cleanses skin gently without stripping natural oils. Creates rich lather. Leaves skin feeling clean, soft, and refreshed."
Face Wash,Gentle Foaming Face Wash - 100ml,120,Personal Care,"skincare,face,foaming,gentle,everyday","Gentle foaming face cleanser for daily use. Removes dirt, oil, and impurities without over-drying. Suitable for normal to oily skin. Rinse clean and fresh feeling."
Toothpaste,Whitening Toothpaste - 150g,90,Personal Care,"dental,toothpaste,whitening,mint,everyday","Whitening toothpaste with fluoride for strong teeth. Removes surface stains and prevents cavities. Fresh mint flavor for long-lasting breath freshness. Twice daily use recommended."
Toothbrush,Soft Bristle Toothbrush,45,Personal Care,"dental,toothbrush,soft,everyday,hygiene","Soft bristle toothbrush that cleans effectively without damaging enamel or gums. Ergonomic handle for comfortable grip. Replace every 3 months for best hygiene."
Soap Bar,Moisturising Bath Soap - 100g,35,Personal Care,"hygiene,soap,moisturising,bath,everyday","Moisturising bath soap with skin nourishing ingredients. Creates creamy lather. Cleanses without drying skin. Pleasant fragrance. Suitable for daily full-body bathing."
Deodorant,Long Lasting Deodorant Spray - 150ml,170,Personal Care,"hygiene,deodorant,spray,fragrance,long-lasting","Long-lasting 48-hour protection deodorant spray. Controls underarm odor and perspiration. Light fresh fragrance. Apply to clean dry underarms for best results."
Shaving Cream,Sensitive Skin Shaving Cream - 60g,95,Personal Care,"grooming,shaving,sensitive,foam,men","Soothing shaving cream for sensitive skin. Creates rich foam that softens beard for a smooth comfortable shave. Reduces razor burn and skin irritation. Men's grooming essential."
Sunscreen,SPF 50 Sunscreen Lotion - 75ml,260,Personal Care,"skincare,sunscreen,spf50,protection,summer","Broad spectrum SPF 50 sunscreen protecting against UVA and UVB rays. Prevents sunburn and skin damage. Essential daily use during sunny weather. Non-greasy formula."
Lip Balm,SPF 20 Moisturising Lip Balm,80,Personal Care,"skincare,lip,spf,moisturising,everyday","Moisturising lip balm with SPF 20 protection. Prevents chapped and dry lips. Use daily to keep lips soft and hydrated. Lightweight and non-sticky formula."
Tissue Box,Soft Facial Tissues - 100 sheets,90,Home Essentials,"paper,tissue,soft,everyday,hygiene","Soft 2-ply facial tissues for gentle use. Suitable for wiping face, hands, and surfaces. Convenient box format. Hygienic single-use sheets for everyday household use."
Toilet Paper,2-Ply Toilet Roll - 4 pack,160,Home Essentials,"paper,toilet,hygiene,soft,everyday","Soft 2-ply toilet paper rolls for bathroom hygiene. Gentle on skin and strong. Pack of 4 rolls for convenience. Essential household bathroom item."
Cotton Buds,Sterile Cotton Buds - 100 pack,60,Personal Care,"hygiene,cotton,ear,sterile,everyday","Sterile cotton-tipped applicators for delicate cleaning of outer ear and detailed grooming tasks. 100 per pack. Also useful for applying and removing makeup or nail art."
Sanitary Pads,Ultra Thin Pads - 20 pack,120,Personal Care,"hygiene,feminine,ultra-thin,protection,comfort","Ultra thin feminine hygiene pads with wings for secure fit. Leak-proof barrier and soft cotton top surface for comfort. 20 pads per pack for regular flow days."
Diapers,Dry Feel Baby Diapers Medium - 40 pack,850,Baby Care,"baby,diaper,dry,soft,medium","Super absorbent medium size baby diapers for 6-11 kg babies. Dry feel top sheet keeps baby's skin dry. Wetness indicator and snug leg cuffs prevent leaks. 40 per pack."
USB Keyboard,Compact Wired Keyboard USB,699,Electronics,"keyboard,usb,wired,computer,input-device","Compact USB wired keyboard with full key layout. Quiet keys with good tactile response. Plug and play compatibility. Suitable for home office, desktop, and laptop use."
Wireless Mouse,2.4GHz Wireless Mouse,499,Electronics,"mouse,wireless,computer,2.4ghz,input-device","Ergonomic 2.4GHz wireless mouse with USB nano receiver. Smooth optical tracking on most surfaces. Long battery life. Comfortable grip for extended computer sessions."
HDMI Cable,1.8m HDMI 2.0 Cable,299,Electronics,"cable,hdmi,display,audio-video,connector","High-speed HDMI 2.0 cable supporting 4K resolution and HDR content. 1.8 meter length for flexible TV and monitor setup. Transfers both audio and video through single cable."
USB Hub,4-Port USB 3.0 Hub,599,Electronics,"usb,hub,4-port,usb3,connector","Expands a single USB port into four USB 3.0 ports with fast 5Gbps data transfer speed. Compact design for desktop and laptop use. Plug and play, no drivers needed."
Phone Charger,18W Fast Charging Adapter,399,Electronics,"charger,fast-charging,18w,adapter,mobile","18W fast charging wall adapter that charges compatible smartphones 3x faster than standard chargers. Wide compatibility with most Android and iOS devices. Compact travel-friendly design."
USB-C Cable,Braided USB-C Cable 1m,249,Electronics,"cable,usb-c,braided,fast-charging,connector","Durable braided nylon USB-C cable with 1m length. Supports fast charging and data transfer. Tangle resistant and reinforced connectors for long life. Compatible with most modern devices."
Earphones,In-Ear Stereo Earphones,349,Electronics,"audio,earphones,in-ear,stereo,music","In-ear stereo earphones with clear sound and decent bass. Comfortable fit with multiple ear tip sizes. Inline microphone for calls. Works with smartphones, tablets, and laptops."
Bluetooth Speaker,Portable Mini Bluetooth Speaker,1299,Electronics,"audio,speaker,bluetooth,portable,wireless","Compact portable Bluetooth speaker with 360-degree sound. Waterproof design for outdoor use. 8-hour battery life. Pairs quickly with smartphones for music and calls on the go."
Power Bank,10000mAh Slim Power Bank,1499,Electronics,"charging,power-bank,10000mah,portable,mobile","Slim 10000mAh power bank for charging smartphones on the go. Dual output ports for charging two devices simultaneously. LED indicator shows remaining battery. TSA approved for air travel."
Screen Protector,Tempered Glass Screen Protector,199,Electronics,"mobile,screen,tempered-glass,protection,smartphone","9H hardness tempered glass screen protector against scratches and cracks. Bubble-free installation with alignment guide. Maintains touch sensitivity and screen clarity."
Phone Cover,Transparent Silicone Phone Cover,149,Electronics,"mobile,cover,silicone,transparent,protection","Clear soft silicone phone case that shows off your phone's original design while protecting against drops and scratches. Lightweight and grippy. Easy on and off installation."
Selfie Stick,Extendable Selfie Stick with Remote,299,Electronics,"camera,selfie,extendable,remote,photography","Extendable selfie stick up to 80cm with Bluetooth remote shutter. Compatible with all smartphones. Lightweight and compact when folded. Great for travel photography and group photos."
LED Bulb,9W Cool White LED Bulb,120,Home Essentials,"lighting,led,9w,cool-white,energy-saving","Energy efficient 9W LED bulb equivalent to 60W incandescent. Cool white light ideal for kitchens and work areas. 15,000 hour lifespan. Instant on with no warm-up time required."
Extension Board,4 Socket Surge Protector Board,399,Home Essentials,"electrical,surge-protector,4-socket,safety,home","4-socket power strip with surge protection. Protects electronics from voltage spikes. 1.5m cable for flexible placement. Safety shutters on sockets. Indicator light when surge protection is active."
AA Batteries,Alkaline AA Batteries - 4 pack,160,Home Essentials,"battery,alkaline,aa,4-pack,power","Long-lasting alkaline AA batteries for remotes, clocks, toys, and portable electronics. 4 per pack. Up to 10-year shelf life. Works in extreme temperatures from -20 to +54 degrees."
Duct Tape,Heavy Duty Duct Tape 10m,120,Home Essentials,"tape,heavy-duty,waterproof,repair,diy","Heavy duty waterproof duct tape for home repairs, bundling, and DIY projects. Strong adhesive bonds to most surfaces. Tear by hand. 10 meter roll. Suitable for indoor and outdoor use."
Sticky Notes,Sticky Note Pad 3x3 - 100 sheets,80,Stationery,"notes,adhesive,3x3,office,reminders","Bright yellow adhesive note pads for reminders, bookmarks, and messages. 100 sheets per pad. 3x3 inch size. Repositionable adhesive leaves no residue. Essential office desk accessory."
